,0
0,3473
1,2135
2,3380
3,720
4,1535
5,2383
6,1147
7,1060
8,860
9,2572
10,2796
11,2548
12,2618
13,1103
14,3477
15,1911
16,2567
17,482
18,341
19,1051
20,1438
21,778
22,3042
23,637
24,1331
25,802
26,1449
27,1052
28,2339
29,234
30,893
31,1587
32,2666
33,375
34,735
35,292
36,638
37,3151
38,2114
39,2404
40,525
41,2690
42,2392
43,1690
44,1597
45,710
46,1119
47,1581
48,810
49,172
50,1069
51,2945
52,309
53,3483
54,3071
55,962
56,1038
57,2509
58,134
59,1522
60,1506
61,1623
62,343
63,3015
64,2983
65,601
66,2088
67,1876
68,884
69,1876
70,829
71,334
72,742
73,1324
74,2762
75,1982
76,136
77,1119
78,498
79,1237
80,565
81,2921
82,140
83,776
84,3074
85,3426
86,1635
87,38
88,3066
89,2063
90,1913
91,718
92,2376
93,1048
94,484
95,34
96,2237
97,1177
98,576
99,1334
100,1575
101,217
102,2913
103,1129
104,2609
105,2344
106,1889
107,1076
108,1918
109,1598
110,286
111,640
112,684
113,2185
114,2144
115,2537
116,2885
117,3266
118,1500
119,2916
120,2561
121,3187
122,1512
123,2562
124,823
125,2698
126,2182
127,3203
128,3113
129,1302
130,3411
131,714
132,142
133,1482
134,2529
135,382
136,2788
137,2615
138,1129
139,1052
140,3252
141,844
142,2751
143,1374
144,884
145,260
146,443
147,906
148,2525
149,1290
150,1672
151,3228
152,1045
153,3453
154,252
155,1429
156,2880
157,2498
158,1590
159,973
160,3468
161,3332
162,1678
163,1202
164,2076
165,2686
166,1357
167,2816
168,1492
169,2072
170,2401
171,975
172,1902
173,1773
174,3294
175,328
176,3247
177,3442
178,1504
179,749
180,1595
181,2942
182,2164
183,1375
184,1142
185,2866
186,2617
187,1876
188,630
189,2082
190,3411
191,844
192,54
193,1841
194,2640
